식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
14718,치폴레옹,고려대점,성북구,모범음식점(2020),4.1941549,N,0.214,0.33,,,4.62
52525,진시황 훠궈양꼬치,,강서구,모범음식점(2002),4.3214121,N,0.251,0.28,,,4.62
55780,다래,,관악구,어린이 우수판매업소(2021),1.2451732,N,0.216,,,,4.62
58129,라미띠에,,강남구,"미쉐린 가이드(2021),미쉐린 가이드(2022),블루리본(2021)",4.3679499,Y,0.264,0.33,4.5,,4.62
90172,수다,서래점,서초구,모범음식점(2003),4.3660399,N,0.267,0.33,,,4.62
92197,이씨주방,,광진구,안심식당(2020),4.2213537,N,0.282,0.33,,,4.62
103407,유닭스토리 닭한마리,신촌점,서대문구,안심식당(2021),4.3943305,N,0.269,0.33,,,4.62
103990,강남복칼국수,,서초구,안심식당(2020),4.2087236,N,0.236,0.33,,,4.62
124650,텐파 마라탕 마라샹꿔,청담점,강남구,모범음식점(2021),4.1414354,N,0.217,0.33,,,4.62
128674,장 스테이크,,강남구,블루리본(2021),4.4573641,N,0.219,0.33,,,4.62
129114,스시하네,,강남구,미쉐린 가이드(2022),4.3863853,N,0.269,0.33,,,4.62
138867,티나의 식빵,,은평구,블루리본(2021),4.4349394,N,0.241,0.2,,,4.62
12696,브래서리,,강남구,모범음식점(2013),4.4734772,N,0.312,0.33,,,4.61
12875,궁나라냉면묵밥,,종로구,"모범음식점(2007),안심식당(2020)",4.226398,Y,0.326,0.34,,5,4.61
13015,황소곱창,,강남구,모범음식점(2016),4.2893683,N,0.296,0.33,,,4.61
13826,묵호,,강동구,"모범음식점(2016),안심식당(2020)",4.1463759,N,0.299,0.12,,,4.61
14673,꿀돼지집,,마포구,모범음식점(2020),4.3022663,N,0.316,0.33,,,4.61
