식당명,지역명,네이버평점
세계맥주창고,동대문구,4.63
현대다방,동대문구,4.63
곱창인생,동대문구,4.63
빅,동대문구,4.63
이문바,동대문구,4.63
사소한,동대문구,4.63
헤이피,동대문구,4.63
지코바,동대문구,4.63
타오타이랑,동대문구,4.63
꼬꼬누리,동대문구,4.63
전현필식당,동대문구,4.63
랭스터디카페,동대문구,4.63
그림제과,동대문구,4.63
샌드백,동대문구,4.63
꼬꼬방집으로삼겹,동대문구,4.63
카페 전농주택,동대문구,4.63
삼형제 김밥,동대문구,4.63
오가네주먹고기,동대문구,4.62
대청마루,동대문구,4.62
만원의행복,동대문구,4.62
송가네,동대문구,4.62
제이비파스타,동대문구,4.62
이디야커피,동대문구,4.62
피자웍스,동대문구,4.62
통칼생고기칼집구이,동대문구,4.62
스시지,동대문구,4.62
한시십일분,동대문구,4.62
따띠삼겹,동대문구,4.62
카페클로버,동대문구,4.62
대경양꼬치,동대문구,4.62
스파지오,동대문구,4.62
카페 오롯이,동대문구,4.62
베이크잍,동대문구,4.62
원조족발보쌈,동대문구,4.61
서울감자탕,동대문구,4.61
구가설렁탕,동대문구,4.61
장군뿔따구,동대문구,4.61
순수치킨,동대문구,4.61
주다냉면,동대문구,4.61
별난주점,동대문구,4.61
르안타이,동대문구,4.61
언니네함바그,동대문구,4.61
빅문,동대문구,4.61
밥은화,동대문구,4.61
모스플레이스,동대문구,4.61
무화,동대문구,4.61
허브영양족발,동대문구,4.6
동해루,동대문구,4.6
이모네식당,동대문구,4.6
닭한마리 호정,동대문구,4.6
이화정식당,동대문구,4.6
주수사,동대문구,4.6
해마루,동대문구,4.6
안동장,동대문구,4.6
해뜰날,동대문구,4.6
달콩,동대문구,4.6
전주분식,동대문구,4.6
카페어반테라스,동대문구,4.6
글라라스푼,동대문구,4.6
다미가한방카페,동대문구,4.6
땡스컵밥,동대문구,4.6
봄솔레씨네,동대문구,4.6
비앙꾸 베이커리,동대문구,4.6
더크림,동대문구,4.6
카페코니니,동대문구,4.6
솥뚜껑삼겹살집,동대문구,4.6
탕비실,동대문구,4.6
한톨,동대문구,4.6
카페천국,동대문구,4.6
와플대학,동대문구,4.6
직화대장,동대문구,4.6
땅땅치킨,동대문구,4.6
유씨커피,동대문구,4.6
자매식당,동대문구,4.6
비나레스토랑,동대문구,4.59
북경양꼬치샤브샤브집,동대문구,4.59
오뚜기부대찌개,동대문구,4.59
와와닭발,동대문구,4.59
카페온,동대문구,4.59
해송,동대문구,4.59
천궁,동대문구,4.59
백고기,동대문구,4.59
닛시스시,동대문구,4.59
이삭토스트,동대문구,4.59
예향칼국수,동대문구,4.59
커피프로젝트,동대문구,4.59
수퍼보울,동대문구,4.59
장안양육관,동대문구,4.59
스시긴,동대문구,4.59
장안함박,동대문구,4.59
시카고커리,동대문구,4.59
경동한우곱창,동대문구,4.59
키라쿠,동대문구,4.59
와와통닭,동대문구,4.59
하비순살떡볶이,동대문구,4.59
더카페,동대문구,4.59
두레박,동대문구,4.58
옛날할머니보쌈,동대문구,4.58
밥한술,동대문구,4.58
대박소곱창,동대문구,4.58
장안회관,동대문구,4.58
옛날소금구이,동대문구,4.58
에스디치킨,동대문구,4.58
취중진닭,동대문구,4.58
오광수산,동대문구,4.58
레알라면,동대문구,4.58
꾼들이 꾸운 누룽지통닭,동대문구,4.58
향,동대문구,4.58
치맥파이브,동대문구,4.58
신용두동쭈꾸미,동대문구,4.58
언니네함바그,동대문구,4.58
낭만돼지곱창,동대문구,4.58
큰집닭강정,동대문구,4.58
특별식당,동대문구,4.58
경성고기꾼,동대문구,4.58
라운드어바웃커피,동대문구,4.58
비하인드미,동대문구,4.58
부스브리또,동대문구,4.58
파치,동대문구,4.58
카페 안,동대문구,4.58
싸가지,동대문구,4.58
카페오플러스,동대문구,4.58
전농관카페,동대문구,4.58
모서리,동대문구,4.58
별파스타,동대문구,4.58
할머니보쌈,동대문구,4.58
사우나 멘동,동대문구,4.58
굿샌드 샌드위치&샐러드,동대문구,4.58
"유초밥, 돈까스",동대문구,4.58
프리카페,동대문구,4.58
목꾸안,동대문구,4.58
빵명장,동대문구,4.58
서울마님죽,동대문구,4.58
지영식당,동대문구,4.57
꽃세겹살,동대문구,4.57
장안동100근집,동대문구,4.57
이삭토스트,동대문구,4.57
술이야,동대문구,4.57
대가참치,동대문구,4.57
빈대떡신사,동대문구,4.57
유명 닭한마리 칼국수,동대문구,4.57
이문왕곱창,동대문구,4.57
스시바다,동대문구,4.57
참치군,동대문구,4.57
커피빈,동대문구,4.57
용두동홍가네,동대문구,4.57
쿠마키친,동대문구,4.57
스시고이,동대문구,4.57
푸드김밥,동대문구,4.57
불난철판,동대문구,4.57
숯불꼼닭발,동대문구,4.57
이삭토스트,동대문구,4.57
백씨네콩다방,동대문구,4.57
자담치킨,동대문구,4.57
식빵,동대문구,4.57
은화수식당,동대문구,4.57
마치,동대문구,4.57
마루한,동대문구,4.57
